epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5311,1.59433,1.35244,1.44571,0.78194,0.73342,0.80205,0.44941,1.44583,1.45888,1.32632,0.0006621,0.0006621,0.0006621
2,116.572,1.58045,1.07324,1.45055,0.58924,0.52276,0.54268,0.24483,1.88996,1.45241,1.66034,0.00131561,0.00131561,0.00131561
3,161.159,1.61041,1.09249,1.47105,0.74792,0.70351,0.74594,0.448,1.51796,1.3479,1.40602,0.00195592,0.00195592,0.00195592
4,204.717,1.5452,1.04215,1.43515,0.8593,0.76333,0.87308,0.51827,1.42409,0.92851,1.29044,0.0019406,0.0019406,0.0019406
5,249.014,1.52863,0.99918,1.4156,0.81596,0.77256,0.86475,0.51605,1.38703,0.956,1.29321,0.0019208,0.0019208,0.0019208
6,292.463,1.50284,0.964,1.40766,0.88202,0.77503,0.88573,0.51841,1.41005,0.94316,1.31115,0.001901,0.001901,0.001901
7,336.706,1.5097,0.97157,1.41428,0.86319,0.76853,0.88276,0.53967,1.33339,0.89596,1.26295,0.0018812,0.0018812,0.0018812
8,381.736,1.46385,0.94733,1.38522,0.88806,0.82965,0.92323,0.58639,1.24651,0.79087,1.21557,0.0018614,0.0018614,0.0018614
9,425.561,1.43278,0.89315,1.3576,0.86514,0.81754,0.91007,0.57958,1.27199,0.76958,1.21301,0.0018416,0.0018416,0.0018416
10,469.15,1.43398,0.90054,1.35834,0.87111,0.83485,0.91405,0.59261,1.20569,0.74021,1.19632,0.0018218,0.0018218,0.0018218
11,512.405,1.41618,0.88594,1.34939,0.89343,0.82315,0.92542,0.59421,1.21202,0.75583,1.1897,0.001802,0.001802,0.001802
12,556.699,1.41942,0.87252,1.34719,0.87557,0.82315,0.9169,0.59571,1.18926,0.73896,1.17647,0.0017822,0.0017822,0.0017822
13,599.925,1.39221,0.86154,1.33203,0.90473,0.81274,0.92274,0.61043,1.15581,0.71831,1.15594,0.0017624,0.0017624,0.0017624
